BLOCK,FLOOR,FLAT,PRICE,SFA
11,9,D,8.40,587
9,26,H,8.40,561
12,5,D,8.40,587
9,32,H,8.40,561
9,5,A,8.40,587
11,9,A,8.40,587
8,14,A,8.40,587
11,10,A,8.40,587
12,34,D,8.40,587
11,14,A,8.39,587
12,10,A,8.39,587
12,11,A,8.38,587
10,10,D,8.38,587
10,10,A,8.38,587
12,28,A,8.38,587
9,7,A,8.38,587
11,15,D,8.37,587
9,31,H,8.37,561
10,30,E,8.37,561
10,32,E,8.36,561
8,7,D,8.36,587
9,31,H,8.36,561
11,14,D,8.36,587
12,7,D,8.36,587
12,8,A,8.35,587
10,5,A,8.35,587
8,22,H,8.35,561
10,5,A,8.34,587
10,5,A,8.34,587
9,33,H,8.34,561
9,20,A,8.34,587
9,3,D,8.33,587
9,5,D,8.33,587
9,3,D,8.33,587
8,21,H,8.33,561
10,27,E,8.33,561
8,13,D,8.33,587
10,5,A,8.32,587
12,19,A,8.32,587
9,2,D,8.32,587
9,22,H,8.32,561
11,24,A,8.32,587
12,8,D,8.31,587
9,31,H,8.31,561
9,29,H,8.31,561
8,19,H,8.31,561
8,18,H,8.31,561
12,5,A,8.31,587
9,26,H,8.30,561
9,28,H,8.30,561
12,8,A,8.30,587
9,4,A,8.30,587
8,6,A,8.29,587
8,7,A,8.29,587
12,26,A,8.29,587
8,29,H,8.29,561
9,2,A,8.29,587
9,23,A,8.29,587
8,20,H,8.28,561
9,6,A,8.28,587
10,27,E,8.28,561
12,25,A,8.28,587
11,7,A,8.27,587
10,26,E,8.27,561
9,33,H,8.27,561
12,29,A,8.27,587
9,25,H,8.27,561
8,25,H,8.26,561
9,3,A,8.26,587
9,2,A,8.26,587
10,14,D,8.25,587
9,3,D,8.25,587
8,19,H,8.25,561
9,29,H,8.25,561
9,34,H,8.24,561
11,4,A,8.24,587
10,23,E,8.24,561
8,17,H,8.23,561
9,16,H,8.23,561
10,28,E,8.23,561
8,11,D,8.22,587
8,31,D,8.22,587
9,9,A,8.22,587
9,29,H,8.22,561
8,5,D,8.21,587
12,2,A,8.21,587
11,4,A,8.21,587
10,23,E,8.21,561
11,22,A,8.21,587
9,26,H,8.20,561
9,2,D,8.20,587
8,18,D,8.20,587
9,15,H,8.20,561
8,5,D,8.20,587
8,9,D,8.20,587
10,21,E,8.20,561
12,2,A,8.20,587
10,6,A,8.20,587
8,21,H,8.19,561
8,18,H,8.19,561
11,4,D,8.19,587
12,3,D,8.19,587
10,20,E,8.18,561
8,5,A,8.18,587
8,34,H,8.18,561
10,2,A,8.18,587
9,15,H,8.18,561
8,33,H,8.18,561
10,25,E,8.18,561
9,15,H,8.17,561
8,6,A,8.17,587
9,3,A,8.17,587
12,2,A,8.17,587
9,23,H,8.17,561
10,2,A,8.16,587
