BLOCK,FLOOR,FLAT,PRICE,SFA
9,5,A,8.472611622,587
9,5,D,8.469734222,587
11,8,D,8.467023725,587
8,9,D,8.465346976,587
9,5,D,8.464193681,587
8,12,D,8.462687963,587
8,10,D,8.460399189,587
10,7,A,8.459512007,587
8,15,A,8.457626527,587
12,8,D,8.457613758,587
10,6,A,8.456367475,587
10,9,A,8.455832912,587
10,7,A,8.454897173,587
12,9,A,8.454004014,587
9,6,A,8.449498573,587
8,11,A,8.445539005,587
10,5,A,8.442833907,587
10,5,A,8.442335043,587
9,28,H,8.441877841,561
8,28,H,8.441220772,561
8,25,D,8.440766733,587
8,13,D,8.440430449,587
12,9,D,8.437963344,587
11,27,D,8.43776223,587
8,11,A,8.434586578,587
8,12,D,8.430422041,587
9,6,A,8.429885625,587
8,8,A,8.425670887,587
12,5,D,8.424357919,587
8,11,D,8.421875175,587
10,8,D,8.417287123,587
12,15,D,8.411415646,587
10,11,A,8.411368609,587
8,8,A,8.410657379,587
9,10,A,8.407985432,587
8,9,D,8.405567964,587
11,9,D,8.404282758,587
9,26,H,8.400502965,561
12,5,D,8.39980083,587
9,32,H,8.39939915,561
9,5,A,8.399059198,587
11,9,A,8.39830982,587
8,14,A,8.398045986,587
11,10,A,8.397406847,587
12,34,D,8.395482351,587
11,14,A,8.391846045,587
12,10,A,8.390888461,587
12,11,A,8.384971141,587
10,10,D,8.382723322,587
10,10,A,8.381532195,587
12,28,A,8.380382953,587
9,7,A,8.379525699,587
11,15,D,8.372354469,587
9,31,H,8.371725423,561
10,30,E,8.369755227,561
10,32,E,8.364708204,561
8,7,D,8.363513776,587
9,31,H,8.362781384,561
11,14,D,8.362283634,587
12,7,D,8.355693693,587
12,8,A,8.352819103,587
10,5,A,8.351421184,587
8,22,H,8.351381784,561
10,5,A,8.341273955,587
10,5,A,8.339641053,587
9,33,H,8.337238141,561
9,20,A,8.336630591,587
9,3,D,8.332807109,587
9,5,D,8.330814835,587
9,3,D,8.328528263,587
8,21,H,8.327704449,561
10,27,E,8.326672244,561
8,13,D,8.326184293,587
10,5,A,8.323477125,587
12,19,A,8.321266355,587
9,2,D,8.31946223,587
9,22,H,8.319460348,561
11,24,A,8.318597976,587
12,8,D,8.311474018,587
9,31,H,8.311287845,561
9,29,H,8.308811426,561
8,19,H,8.308802435,561
8,18,H,8.308350886,561
12,5,A,8.30638983,587
9,26,H,8.298570544,561
9,28,H,8.298087255,561
12,8,A,8.297265244,587
9,4,A,8.296121917,587
8,6,A,8.292531326,587
8,7,A,8.291321008,587
12,26,A,8.290830306,587
8,29,H,8.288338931,561
9,2,A,8.287303774,587
9,23,A,8.287297267,587
8,20,H,8.283896018,561
9,6,A,8.282968437,587
10,27,E,8.282256988,561
12,25,A,8.280427633,587
11,7,A,8.273943771,587
10,26,E,8.273036722,561
9,33,H,8.271323188,561
12,29,A,8.268725508,587
9,25,H,8.265016449,561
8,25,H,8.260186432,561
9,3,A,8.258367144,587
9,2,A,8.258004691,587
10,14,D,8.253513303,587
9,3,D,8.24806146,587
8,19,H,8.246000678,561
9,29,H,8.245663487,561
9,34,H,8.244860089,561
11,4,A,8.240966963,587
10,23,E,8.239672871,561
8,17,H,8.233193209,561
9,16,H,8.231581778,561
10,28,E,8.225849481,561
8,11,D,8.224772602,587
8,31,D,8.220283484,587
9,9,A,8.217486727,587
9,29,H,8.215257342,561
8,5,D,8.213995383,587
12,2,A,8.211956247,587
11,4,A,8.205737656,587
10,23,E,8.205513344,561
11,22,A,8.205122248,587
9,26,H,8.204109615,561
9,2,D,8.203342537,587
8,18,D,8.202768919,587
9,15,H,8.201029527,561
8,5,D,8.199867214,587
8,9,D,8.198812328,587
10,21,E,8.198465502,561
12,2,A,8.198256601,587
10,6,A,8.195259119,587
8,21,H,8.192768305,561
8,18,H,8.192262006,561
11,4,D,8.186517683,587
12,3,D,8.186424196,587
10,20,E,8.184203428,561
8,5,A,8.183892125,587
8,34,H,8.178940467,561
10,2,A,8.17762907,587
9,15,H,8.177597469,561
8,33,H,8.177171799,561
10,25,E,8.17512715,561
9,15,H,8.174879165,561
8,6,A,8.173999715,587
9,3,A,8.173335984,587
12,2,A,8.171313547,587
9,23,H,8.165753237,561
10,2,A,8.163954983,587
9,16,H,8.163680986,561
10,4,D,8.163520018,587
10,27,E,8.161219549,561
8,10,A,8.159829931,587
9,28,E,8.156772456,561
11,4,D,8.153310754,587
9,4,D,8.151436013,587
10,22,A,8.146012525,587
10,2,D,8.143848406,587
8,26,H,8.14057748,561
8,29,H,8.140228978,561
10,2,D,8.136686937,587
11,4,D,8.13656672,587
12,2,A,8.132484202,587
8,5,D,8.128656832,587
10,5,D,8.126388247,587
8,20,H,8.120005199,561
11,11,D,8.114363644,587
8,18,H,8.114013663,561
10,23,E,8.111736415,561
10,21,E,8.110269128,561
9,26,E,8.110222428,561
12,3,A,8.107369249,587
11,8,A,8.104870882,587
9,34,H,8.102110053,561
8,5,A,8.101376369,587
11,28,H,8.098767102,561
9,26,H,8.092072858,561
11,4,A,8.089273839,587
8,15,H,8.08884718,561
8,23,E,8.087851567,561
9,2,A,8.087757209,587
9,25,E,8.086921497,561
8,3,A,8.083229486,587
9,31,H,8.083149293,561
9,13,H,8.082301262,561
8,15,H,8.081968638,561
12,29,H,8.077634202,561
9,28,E,8.077118794,561
11,27,H,8.074787555,561
10,2,A,8.073386828,587
8,4,D,8.071522317,587
8,28,E,8.067614603,561
12,27,H,8.066907029,561
8,21,E,8.065636207,561
10,12,E,8.065016806,561
9,23,E,8.062454399,561
10,12,E,8.061636382,561
9,15,H,8.061103063,561
11,13,D,8.060816164,587
11,25,H,8.058437206,561
9,23,E,8.057980842,561
10,2,D,8.057061235,587
12,26,H,8.055908741,561
9,16,H,8.055605185,561
12,31,H,8.053970068,561
9,11,H,8.053664307,561
11,2,D,8.052779349,587
8,12,H,8.052635245,561
8,4,D,8.051108582,587
11,33,H,8.050651273,561
7,31,B,8.049779775,551
9,11,H,8.047016332,561
9,30,E,8.046239318,561
8,20,E,8.045962635,561
8,30,E,8.044852479,561
7,22,B,8.04435449,551
9,6,A,8.043822458,587
11,26,E,8.040684576,561
12,4,D,8.040281808,587
9,11,H,8.039253847,561
9,23,E,8.037841217,561
12,29,E,8.037245645,561
12,4,D,8.037071715,587
10,22,H,8.036026981,561
8,20,E,8.032765929,561
12,22,H,8.031057177,561
7,28,B,8.030441739,551
12,22,H,8.029938789,561
11,30,H,8.029700516,561
8,3,A,8.029034704,587
7,32,B,8.028935461,551
12,8,D,8.026312341,587
10,19,E,8.025925681,561
9,21,E,8.024843193,561
9,26,E,8.024383185,561
9,31,E,8.023752736,561
9,20,H,8.02294509,561
12,33,E,8.021391593,561
7,25,B,8.019420381,551
11,2,D,8.019312923,587
10,15,E,8.018647012,561
10,6,D,8.017830327,587
11,26,H,8.017787177,561
12,29,E,8.016293268,561
8,23,E,8.016124955,561
9,30,H,8.014878931,561
11,32,E,8.013359659,561
12,31,E,8.012754663,561
9,23,E,8.011939717,561
7,32,B,8.011258953,551
11,3,A,8.008418295,587
8,5,A,8.006328848,587
11,29,E,8.005832845,561
11,16,A,8.004486243,587
11,30,E,8.004446155,561
9,2,A,8.002603214,587
7,21,B,8.000432056,551
12,28,E,7.999959124,561
11,22,E,7.999211186,561
8,19,E,7.998566158,561
9,23,E,7.998427421,561
9,4,A,7.99799378,587
7,30,B,7.997853934,551
8,13,H,7.997129052,561
11,33,E,7.99557436,561
8,5,A,7.994252728,587
11,22,E,7.992853491,561
10,11,E,7.992429315,561
10,2,D,7.98860078,587
7,32,B,7.987342597,551
10,24,E,7.985780825,561
10,26,H,7.985088301,561
8,26,E,7.98482684,561
7,31,B,7.984806938,551
11,21,E,7.984284535,561
8,34,H,7.983901458,561
11,21,H,7.983793812,561
12,22,E,7.982414619,561
5,28,B,7.981630839,539
10,18,H,7.980929078,561
7,23,B,7.980865808,551
8,31,E,7.978903839,561
12,28,E,7.978015344,561
12,18,H,7.97725351,561
8,2,D,7.977135648,587
12,30,E,7.976253418,561
8,25,E,7.97538856,561
8,34,E,7.971146555,561
10,21,H,7.971097256,561
8,17,E,7.970040839,561
9,34,E,7.969717217,561
10,34,E,7.969137275,561
8,9,H,7.965314231,561
11,33,H,7.963455569,561
8,28,E,7.96083058,561
11,6,D,7.959830361,587
12,20,E,7.958779855,561
12,19,E,7.957769011,561
9,20,E,7.957581196,561
10,10,E,7.957135955,561
11,33,H,7.957124616,561
7,21,B,7.955842619,551
7,26,B,7.955143067,551
9,8,H,7.952821994,561
11,18,H,7.952166353,561
11,4,A,7.951313587,587
12,27,E,7.950900525,561
10,23,H,7.943310866,561
11,4,A,7.94149286,587
9,24,E,7.941362088,561
10,24,H,7.940538498,561
12,26,H,7.940185029,561
12,26,H,7.940131081,561
5,27,B,7.939529316,539
12,2,A,7.939501959,587
10,20,E,7.93817803,561
11,26,H,7.937520054,561
12,4,A,7.935114044,587
9,23,E,7.935020388,561
4,28,B,7.934625182,539
11,22,H,7.934085822,561
9,21,E,7.930684531,561
11,31,E,7.930109972,561
8,2,D,7.930065538,587
11,13,A,7.929285173,587
5,32,B,7.92430783,539
12,22,E,7.923777488,561
5,28,B,7.923101892,539
9,11,H,7.922140993,561
11,22,E,7.921747559,561
4,29,B,7.920396624,539
8,24,E,7.917827549,561
12,22,E,7.917787083,561
